Epoch 118 | train_loss=0.2749 train_acc=0.9572 | val_loss=0.2752 val_acc=0.9465
Epoch 119 | train_loss=0.2736 train_acc=0.9572 | val_loss=0.2742 val_acc=0.9465
Epoch 120 | train_loss=0.2724 train_acc=0.9581 | val_loss=0.2730 val_acc=0.9465
Epoch 121 | train_loss=0.2712 train_acc=0.9581 | val_loss=0.2719 val_acc=0.9465
Epoch 122 | train_loss=0.2700 train_acc=0.9581 | val_loss=0.2709 val_acc=0.9465
Epoch 123 | train_loss=0.2689 train_acc=0.9581 | val_loss=0.2698 val_acc=0.9465
Epoch 124 | train_loss=0.2677 train_acc=0.9581 | val_loss=0.2688 val_acc=0.9465
Epoch 125 | train_loss=0.2666 train_acc=0.9581 | val_loss=0.2678 val_acc=0.9465
Epoch 126 | train_loss=0.2655 train_acc=0.9581 | val_loss=0.2667 val_acc=0.9465
Epoch 127 | train_loss=0.2644 train_acc=0.9581 | val_loss=0.2658 val_acc=0.9465
Epoch 128 | train_loss=0.2633 train_acc=0.9590 | val_loss=0.2649 val_acc=0.9465
Epoch 129 | train_loss=0.2622 train_acc=0.9581 | val_loss=0.2638 val_acc=0.9465
Epoch 130 | train_loss=0.2612 train_acc=0.9581 | val_loss=0.2629 val_acc=0.9465
Epoch 131 | train_loss=0.2601 train_acc=0.9590 | val_loss=0.2620 val_acc=0.9465
Epoch 132 | train_loss=0.2591 train_acc=0.9590 | val_loss=0.2611 val_acc=0.9465
Epoch 133 | train_loss=0.2581 train_acc=0.9590 | val_loss=0.2602 val_acc=0.9465
Epoch 134 | train_loss=0.2571 train_acc=0.9590 | val_loss=0.2592 val_acc=0.9465
Epoch 135 | train_loss=0.2561 train_acc=0.9590 | val_loss=0.2583 val_acc=0.9465
Epoch 136 | train_loss=0.2551 train_acc=0.9590 | val_loss=0.2575 val_acc=0.9465
Epoch 137 | train_loss=0.2541 train_acc=0.9600 | val_loss=0.2566 val_acc=0.9465
Epoch 138 | train_loss=0.2532 train_acc=0.9600 | val_loss=0.2557 val_acc=0.9465
Epoch 139 | train_loss=0.2523 train_acc=0.9590 | val_loss=0.2549 val_acc=0.9465
Epoch 140 | train_loss=0.2513 train_acc=0.9600 | val_loss=0.2541 val_acc=0.9465
Epoch 141 | train_loss=0.2504 train_acc=0.9600 | val_loss=0.2533 val_acc=0.9465
Epoch 142 | train_loss=0.2495 train_acc=0.9600 | val_loss=0.2525 val_acc=0.9465
Epoch 143 | train_loss=0.2486 train_acc=0.9600 | val_loss=0.2517 val_acc=0.9465
Epoch 144 | train_loss=0.2477 train_acc=0.9600 | val_loss=0.2509 val_acc=0.9465
Epoch 145 | train_loss=0.2468 train_acc=0.9600 | val_loss=0.2501 val_acc=0.9465
Epoch 146 | train_loss=0.2460 train_acc=0.9600 | val_loss=0.2493 val_acc=0.9465
Epoch 147 | train_loss=0.2451 train_acc=0.9600 | val_loss=0.2486 val_acc=0.9465
Epoch 148 | train_loss=0.2443 train_acc=0.9600 | val_loss=0.2478 val_acc=0.9465
Epoch 149 | train_loss=0.2434 train_acc=0.9600 | val_loss=0.2472 val_acc=0.9465
Epoch 150 | train_loss=0.2426 train_acc=0.9600 | val_loss=0.2465 val_acc=0.9465
Epoch 151 | train_loss=0.2418 train_acc=0.9600 | val_loss=0.2457 val_acc=0.9465
Epoch 152 | train_loss=0.2410 train_acc=0.9600 | val_loss=0.2450 val_acc=0.9465
Epoch 153 | train_loss=0.2402 train_acc=0.9609 | val_loss=0.2443 val_acc=0.9465
Epoch 154 | train_loss=0.2394 train_acc=0.9609 | val_loss=0.2436 val_acc=0.9465
Epoch 155 | train_loss=0.2386 train_acc=0.9609 | val_loss=0.2429 val_acc=0.9465
Epoch 156 | train_loss=0.2379 train_acc=0.9618 | val_loss=0.2422 val_acc=0.9465
Epoch 157 | train_loss=0.2371 train_acc=0.9609 | val_loss=0.2416 val_acc=0.9465
Epoch 158 | train_loss=0.2363 train_acc=0.9618 | val_loss=0.2409 val_acc=0.9465
Epoch 159 | train_loss=0.2356 train_acc=0.9618 | val_loss=0.2402 val_acc=0.9493
Epoch 160 | train_loss=0.2349 train_acc=0.9628 | val_loss=0.2395 val_acc=0.9493
Epoch 161 | train_loss=0.2341 train_acc=0.9628 | val_loss=0.2389 val_acc=0.9493
Epoch 162 | train_loss=0.2334 train_acc=0.9628 | val_loss=0.2382 val_acc=0.9493
Epoch 163 | train_loss=0.2327 train_acc=0.9628 | val_loss=0.2377 val_acc=0.9465
Epoch 164 | train_loss=0.2320 train_acc=0.9628 | val_loss=0.2370 val_acc=0.9465
Epoch 165 | train_loss=0.2313 train_acc=0.9628 | val_loss=0.2364 val_acc=0.9465
Epoch 166 | train_loss=0.2306 train_acc=0.9618 | val_loss=0.2358 val_acc=0.9465
Epoch 167 | train_loss=0.2299 train_acc=0.9628 | val_loss=0.2352 val_acc=0.9465
Epoch 168 | train_loss=0.2292 train_acc=0.9609 | val_loss=0.2348 val_acc=0.9465
Epoch 169 | train_loss=0.2285 train_acc=0.9628 | val_loss=0.2341 val_acc=0.9465
Epoch 170 | train_loss=0.2279 train_acc=0.9628 | val_loss=0.2335 val_acc=0.9465
Epoch 171 | train_loss=0.2272 train_acc=0.9628 | val_loss=0.2328 val_acc=0.9493
Epoch 172 | train_loss=0.2266 train_acc=0.9628 | val_loss=0.2323 val_acc=0.9521
Epoch 173 | train_loss=0.2259 train_acc=0.9628 | val_loss=0.2318 val_acc=0.9493
Epoch 174 | train_loss=0.2253 train_acc=0.9628 | val_loss=0.2312 val_acc=0.9521
Epoch 175 | train_loss=0.2246 train_acc=0.9628 | val_loss=0.2307 val_acc=0.9493
Epoch 176 | train_loss=0.2240 train_acc=0.9646 | val_loss=0.2301 val_acc=0.9521
Epoch 177 | train_loss=0.2234 train_acc=0.9646 | val_loss=0.2295 val_acc=0.9521
Epoch 178 | train_loss=0.2228 train_acc=0.9637 | val_loss=0.2290 val_acc=0.9493
